uid,programme,plu_or_module_code,plu_or_module_title,element_title,outcome_code,outcome_text,sort_order
72b2ceb988cf,JC_L2LP,JC-L2-PLU4,Living in a community,Resolving conflict,4.12,"Identify the school’s approach to dealing with bullying behaviour, e.g. being sent to the principal’s office, use of behaviour chart",5
1b42b2252b01,JC_L2LP,JC-L2-PLU4,Living in a community,Resolving conflict,4.13,"Identify the steps for dealing with conflict, e.g. stop and do not react straight away, listen to advice from an adult",6
88aca14b23e1,JC_L2LP,JC-L2-PLU4,Living in a community,Seeking help and advice,4.18,"Name the relevant agencies that offer support and advice to the public, e.g. Citizen Advice Centre, local information centre",1
d079f1f805ce,JC_L2LP,JC-L2-PLU4,Living in a community,Seeking help and advice,4.19,"Describe the school’s procedure for reporting an incident, e.g. if someone is bullying you",2
57a12869862d,JC_L2LP,JC-L2-PLU4,Living in a community,Seeking help and advice,4.20,"Compile a short list of people or groups who can provide support, including personal contacts and groups/organisations",3
e88e7de83f44,JC_L2LP,JC-L2-PLU4,Living in a community,Seeking help and advice,4.21,"Describe how to contact a range of people or organisations in their local area that can provide help and advice, e.g. local Garda station",4
3e9c0f892956,JC_L2LP,JC-L2-PLU4,Living in a community,Seeking help and advice,4.22,Visit a local community organisation and ask for advice,5
655ef5bdc277,JC_L2LP,JC-L2-PLU4,Living in a community,Using local facilities,4.14,List ways of spending leisure time,1
d0e1f7388907,JC_L2LP,JC-L2-PLU4,Living in a community,Using local facilities,4.15,Identify familiar places and organisations in the local community,2
925bed57f283,JC_L2LP,JC-L2-PLU4,Living in a community,Using local facilities,4.16,Distinguish between what is free and what has to be paid for in the local community,3
71b7945de22b,JC_L2LP,JC-L2-PLU4,Living in a community,Using local facilities,4.17,"Participate in a school-based community project and record their participation, e.g. a litter campaign",4
1aeaf4251505,JC_L2LP,JC-L2-PLU5,Preparing for work,Being able to set goals for learning,5.1,"Set learning goals, e.g. by the end of this week I will finish my book",1
d5f802ab716c,JC_L2LP,JC-L2-PLU5,Preparing for work,Being able to set goals for learning,5.2,"Create a learning plan which includes the necessary steps and timeframe to complete it. Link the plan to an IEP, e.g. each night I am going to read a page of my book",2
21cebc24d5d2,JC_L2LP,JC-L2-PLU5,Preparing for work,Being able to set goals for learning,5.3,"Implement the plan, e.g. for a week",3
80823f42da8d,JC_L2LP,JC-L2-PLU5,Preparing for work,Being able to set goals for learning,5.4,"Express opinions on how performance could be improved, e.g. next time I will give myself more time to reach the target",4
b69c4093fae2,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.17,"Give examples of safe practices in three distinct workplaces, e.g. wearing protective eyewear in metalwork class",1
369dc3253461,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.18,"Use all tools and equipment correctly and safely in a range of practical classes, e.g. replace the lid on any liquids",2
2b6da9313209,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.19,"Describe and use electrical equipment correctly and safely in a range of practical classes, e.g. use a mixer in home economics",3
afc05355a88f,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.20,"Store all tools, materials and equipment safely",4
14ee3f76ee06,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.21,"List the different procedures for self-protection at work, e.g. wearing protective clothing or a hair net",5
54bde433e839,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.22,"Identify the fire exits in a school, e.g. draw a map of the school, locating the fire exits",6
c399b25fed8f,JC_L2LP,JC-L2-PLU5,Preparing for work,Developing an awareness of health and safety using equipment,5.23,"Follow the instructions for a fire drill, e.g. participate in a fire drill",7
93826ada70b8,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.5,"Identify different jobs that people do in their school, e.g. the role of the teacher, caretaker and the school secretary",1
1eb4f3ea5872,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.6,List three local employment opportunities,2
cc6d425b0189,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.7,"Describe one way in which people get a job or course of their choice, e.g. from a newspaper, information from a college",3
9bf5eb14ef03,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.8,List possible jobs that they are interested in and find information on the requirements for the jobs,4
7d9820587ded,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.9,"Visit a local employer and review the visit, e.g. name two new things learned",5
92c2613129a0,JC_L2LP,JC-L2-PLU5,Preparing for work,Finding out about work,5.10,"Use a variety of ways to check for the advertisement of jobs, e.g. local newspapers, websites, TV ad",6
1e4ac5be8cfa,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.11,Identify and list their own talents,1
5e553b004b77,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.12,"Create a curriculum vitae including personal profile, education and work experience details",2
eb368e9128b5,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.13,"Participate in a short interview, e.g. mock job interview with a teacher",3
0952aa4157c3,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.14,"Keep a punctuality and attendance record for a month, e.g. using a scale 1-10, students can record if they are on time for school, class and if they attend school regularly",4
28469b816112,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.15,"Carry out specific tasks in a range of roles in school, e.g. bringing attendance registers to the office, arrange classroom materials appropriately",5
ea321910e7bf,JC_L2LP,JC-L2-PLU5,Preparing for work,Preparing for a work related activity,5.16,"Keep a record of tasks completed in a journal, e.g. start and finish times for a task, describe what the steps are in the task",6
685946b73ba9,SC_L1LP,SC_L1LP-DRAMA,Drama,,a.,"participate in free, structured or imaginative play activities",1
8e46a04ae144,SC_L1LP,SC_L1LP-DRAMA,Drama,,b.,demonstrate movement within a space,2
803f3ed51725,SC_L1LP,SC_L1LP-DRAMA,Drama,,c.,engage in movement activities,3
42bd53b74d8a,SC_L1LP,SC_L1LP-DRAMA,Drama,,d.,"move their body by shape, size or speed to convey meaning",4
4da029c65e00,SC_L1LP,SC_L1LP-DRAMA,Drama,,e.,"choose facial expressions, body language, or voice to express emotions",5
e88c0c37ae60,SC_L1LP,SC_L1LP-DRAMA,Drama,,f.,"demonstrate the role of sound, gesture, voice, movement or space in drama",6
b61517aa0e6d,SC_L1LP,SC_L1LP-DRAMA,Drama,,g.,"choose sound, facial expression, gesture or movement to convey meaning",7
03c81e05186c,SC_L1LP,SC_L1LP-DRAMA,Drama,,h.,"choose sounds, voice or facial expression to convey their role and situation in drama",8
eeb662f6738b,SC_L1LP,SC_L1LP-DRAMA,Drama,,i.,demonstrate simple turn-taking and social exchanges,9
69324e2fc696,SC_L1LP,SC_L1LP-DRAMA,Drama,,j.,explore examples of drama in their everyday lives,10
55506b91f9d1,SC_L1LP,SC_L1LP-DRAMA,Drama,,k.,experience drama as an audience member,11
9109e990c98c,SC_L1LP,SC_L1LP-DRAMA,Drama,,l.,"contribute to the preparation of drama by handling props, choosing setting or arranging stage",12
557c4ed59f7b,SC_L1LP,SC_L1LP-DRAMA,Drama,,m.,explore how the use of space and props can help to enhance a piece of drama,13
3bb7dfdb6194,SC_L1LP,SC_L1LP-DRAMA,Drama,,n.,create social narratives for everyday activities,14
77b1bb2741d9,SC_L1LP,SC_L1LP-DRAMA,Drama,,o.,"create a simple story or scenario using props, verbal cues or prompts.",15
e6d283056df8,SC_L1LP,SC_L1LP-DRAMA,Drama,,p.,participate in role-play activities and/or assuming a basic character,16
030777e8fbb7,SC_L1LP,SC_L1LP-DRAMA,Drama,,q.,act out simple scenarios,17
d4dd4897937c,SC_L1LP,SC_L1LP-DRAMA,Drama,,r.,participate in creating and performing a piece of drama individually or in a group,18
7eeaf7c6d917,SC_L1LP,SC_L1LP-DRAMA,Drama,,s.,rehearse and perform sequences or excerpts,19
a8802543052e,SC_L1LP,SC_L1LP-DRAMA,Drama,,t.,explore costumes and props for effect in drama,20
a7b053546eb2,SC_L1LP,SC_L1LP-DRAMA,Drama,,u.,explore music or movement for effect in a piece of drama,21
4ebcea08b19d,SC_L1LP,SC_L1LP-DRAMA,Drama,,v.,express choice for drama,22
c1008d6a9bf4,SC_L1LP,SC_L1LP-DRAMA,Drama,,w.,"communicate preferences for costumes, music, movement and props",23
16374ba00532,SC_L1LP,SC_L1LP-DRAMA,Drama,,x.,use personal experience and imagination to express ideas for drama,24
b9d729124eff,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,a.,become aware of self,1
c5f9946c11c1,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,a.,show awareness of others,2
ee2563d45a96,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,a.,show an awareness of daily activities by following structure/routine/prompts,3
6fca9f6613f5,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,b.,"express preferences, likes and dislikes",4
e1d75e0fcaf5,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,b.,anticipate their turn during familiar activities,5
0a6d51d105d4,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,b.,transition from one location to the next following structure/routine/prompts,6
995318ebe853,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,c.,indicate and demonstrate personal skills and abilities,7
12b75beb98cd,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,c.,engage with peers through specific actions or prompts,8
86425484fc7b,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,c.,follow safety routines in familiar environments,9
69950175a218,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,d.,recognise personal features of themselves and others and indicate differences,10
c2e787b223c6,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,d.,engage in and practice appropriate interactions during cooperative activities,11
f4349c1a5868,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,d.,recognise safe situations/places and the factors that can make a situation/place safe,12
f07c66f3336d,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,e.,show awareness of body parts and indicate body parts using simple gestures,13
1b50688e8ff2,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,e.,demonstrate appropriate social interactions during activities,14
8b098facee79,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,e.,recognise unsafe situations/places and the factors that can make a situation/place unsafe,15
df8ccc86e590,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,f.,explore movement and sensory experiences using different body parts,16
ec6c0e093eec,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,f.,establish and develop relationships with peers,17
7800095bdf45,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,f.,engage in and demonstrate safety skills,18
253707048546,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,g.,recognise that sexual feelings are a typical part of growing up,19
f0d3b657e154,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,g.,recognise who family and peers are,20
5e268eedbde0,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,g.,recognise immediate potential dangers around them,21
385e59e55533,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,h.,recognise physical development by identifying changes in clothes and physical features,22
cbe33b88e575,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,h.,recognise that there are different types of relationships,23
05876fa44b74,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,h.,recognise the importance of safety around medicines and link them to their use,24
608f3777b346,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,i.,identify body parts and understand that some body parts are private,25
2866baea3513,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,i.,demonstrate understanding of the meaning of “yes” and “no” and communicate it,26
d77f1069756b,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,i.,recognise the importance of safety around hazardous substances,27
851975b69590,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,j.,understand the importance of clothing/covering,28
22af0d979fec,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,j.,show awareness of their own boundaries3 and those of others,29
52a100dccadc,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,j.,"explore how to seek, give or deny permission respectfully when sharing possessions or personal space",30
c31a3f086522,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,k.,distinguish between appropriate behaviours and inappropriate behaviours across a variety of contexts,31
b41fb757c5ff,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,k.,initiate engagement with others,32
0af0371d711c,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,k.,communicate effectively when they need help/assistance or feel unsafe,33
a287653d33e6,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,l.,participate in setting goals with supports,34
bdb51457a301,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,l.,notice the needs and feelings of others and show empathy through gestures or actions,35
c9adb6beca99,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,l.,show ways of getting help in unsafe situations and emergencies and identify people who can help,36
0c44c3890344,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,m.,engage with transition routines and structures,37
c1f2cb3ad683,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,m.,"communicate to express needs, wants, feelings and emotions in social situations",38
0856e184ac70,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,m.,respond appropriately in emergency situations,39
ef008295798b,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,n.,develop self-reliance in daily tasks,40
1a6cdfa2d6ec,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,n.,express emotions and feelings in a healthy way,41
bc1d838706a3,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,n.,demonstrate skills for personal safety,42
13d37e5b3179,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,o.,respond to reminders or prompts for hygiene routines,43
e7d6896e28f8,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,o.,identify feelings of stress and respond appropriately,44
59785ecb0ca4,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,o.,understand the difference between appropriate and inappropriate behaviour towards self and others,45
5217f822584d,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,p.,express their needs and preferences regarding personal care routines,46
6337eedba084,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,p.,identify and apply strategies to enable self-regulation,47
bd5f70c4c191,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,p.,identify appropriate responses to inappropriate behaviour,48
fc40249b0ff3,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,q.,follow the sequence and routine of personal care task,49
2e2b8281d02f,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,q.,apply coping mechanisms to deal with challenges,50
0ab5df022cff,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,q.,show awareness of personal space and communicate discomfort or consent regarding personal space or touch during routines,51
30eade936040,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,r.,participate in daily personal hygiene care routines,52
dadbe87f7145,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,r.,recognise that boundaries apply to all forms of interactions with others,53
54fb425f2568,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,s.,indicate if help is required with personal care activities and acknowledge assistance,54
63bf7f642d6b,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,s.,demonstrate skills for personal safety by applying refusal skills,55
9d7c108f305f,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,t.,"show increasing awareness of how cleanliness, hygiene and self-care can affect health and wellbeing and apply this understanding to everyday routines",56
47e4f734436d,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,u.,participate in changing clothes at transition times,57
bf3f4d7cb8f7,SC_L1LP,SC_L1LP-PERSONAL-CARE-CURRICULUM-AREA,Personal Care Curriculum Area,,v.,recognise errors and respond appropriately,58
e4711994231d,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,a.,show awareness of their body and respond to movement fully supported or prompted by others,1
5fdd8446c871,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,b.,"move whole or some body parts (arms, legs, track with eyes etc) voluntarily and with intent",2
aeee4e435661,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,c.,move whole or some body parts to explore their immediate environment,3
48e895485399,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,d.,move whole body or individual limbs in a range of directions and at different speeds,4
3857f9d4444d,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,e.,become aware of sensory signals as a prompt for movement,5
d24bd9146a6f,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,f.,demonstrate fundamental movement skills with support where necessary,6
08ea0959b15e,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,g.,"use relevant equipment safely, with appropriate support",7
21072c5f66f4,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,h.,increase tolerance to equipment,8
0671716c9ba2,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,i.,demonstrate an awareness of safe practices when engaging in physical activities,9
eee6613924cf,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,j.,imitate the movement of others,10
5b1937a351f4,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,k.,explore a sequence of movement,11
f9be577f4bc4,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,l.,explore and/or recognise cause and effect of movement,12
3faa64e332a7,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,m.,explore and/or identify emotional and physical state before and after a physical activity,13
f1d7658f6c05,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,n.,experience and/or identify ways to recover after engaging in physical activity,14
a265967beef0,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,o.,communicate personal preference for a physical activity,15
192623d7cecf,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,p.,maintain a physical activity in a structured environment,16
d8a88f111d25,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,q.,experience simple relaxation techniques,17
29b1a9b33d66,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,r.,participate in or demonstrate simple safety instructions for physical activities,18
e130dcf78e95,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,s.,identify and engage with opportunities in their local community for physical activities,19
c56a916e51fa,SC_L1LP,SC_L1LP-PHYSICAL-EDUCATION,Physical Education,,t.,recognise and/or experience physical activity is essential to a healthy lifestyle,20
894432367f61,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,a.,follow example or familiar process to create a piece of work,1
92cf745065d2,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,b.,use familiar techniques with support,2
4fdf2d60860d,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,c.,"engage with different textures, colours, or materials using hands or tools",3
fb42ed588e7c,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,d.,"choose colours, materials, tools or form for a familiar task",4
9fb67f502be7,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,e.,"experiment with and then select different materials, textures or tools",5
35afe4c67243,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,f.,"recognise and identify colour, line, dot, shape or form in art",6
44666d5b6f21,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,g.,"choose elements such as colour, line, dot, shape or pattern to create art",7
2d256c22f6c5,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,h.,"choose elements such as colour, line, dot, shape or pattern to express emotions",8
7433c724522f,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,i.,observe the result of mixing colours and shapes,9
8bca4d29d99f,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,j.,"express preference for colour, tools or material when creating pieces of art",10
9e4da9ee2073,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,k.,create a piece of art,11
e7d59132150e,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,l.,identify basic elements of composition,12
e9de47e45841,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,m.,express ideas for creating a piece of art,13
84c613730b4b,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,n.,recognise and identify own skills and preferences in creating art,14
f8ed50cc46e6,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,o.,"create art with an auditory component (e.g., making art that accompanies sounds or using materials that make noise when touched).",15
28e7ebd8bf19,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,p.,prepare pieces of own art for display,16
a611932d6ef3,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,q.,display own art,17
b9783b579b30,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,r.,identify and recognise art in their local environments,18
3c5088f91661,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,s.,react to art,19
e9929b07371d,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,t.,"express a preference for, or opinion of, a piece of art",20
f14c957a555f,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,u.,explore pieces of art from different cultures and periods of time,21
d9b82f12ac27,SC_L1LP,SC_L1LP-VISUAL-ART,Visual Art,,v.,experience art in their community,22
f9adfedeae47,SC_L2LP,SC_L2LP-COOKERY,Cookery,,a.,"identify and safely use essential kitchen equipment, such as knives, chopping boards, blenders, measuring tools",1
adb4fc7657bd,SC_L2LP,SC_L2LP-COOKERY,Cookery,,b.,identify and safely use everyday kitchen (home) appliances,2
e91390aa5ee5,SC_L2LP,SC_L2LP-COOKERY,Cookery,,c.,recognise and follow safety procedures within a kitchen environment,3
a3d68c5a857f,SC_L2LP,SC_L2LP-COOKERY,Cookery,,d.,engage in measuring and weighing techniques for both dry and liquid ingredients,4
58cfb6e83f5b,SC_L2LP,SC_L2LP-COOKERY,Cookery,,e.,apply proper hygiene practices within a kitchen environment,5
03c37dbfb982,SC_L2LP,SC_L2LP-COOKERY,Cookery,,f.,identify ‘use by’ and ‘best before’ dates on food,6
e0dd06e5ed51,SC_L2LP,SC_L2LP-COOKERY,Cookery,,g.,identify important symbols on food labels,7
b68ba430a9b2,SC_L2LP,SC_L2LP-COOKERY,Cookery,,h.,"identify and interpret important information on food labels such as serving size, ingredients, allergies and nutritional values",8
271920b01499,SC_L2LP,SC_L2LP-COOKERY,Cookery,,i.,recognise and apply safe food storage techniques within a kitchen environment,9
ee43def64ba9,SC_L2LP,SC_L2LP-COOKERY,Cookery,,j.,identify and follow guidelines for preventing cross-contamination in food preparation,10
85b93cced8a9,SC_L2LP,SC_L2LP-COOKERY,Cookery,,k.,demonstrate different cooking methods,11
e915def5e3e5,SC_L2LP,SC_L2LP-COOKERY,Cookery,,l.,"demonstrate basic food preparation skills, such as chopping, grating or mixing",12
e38d94371178,SC_L2LP,SC_L2LP-COOKERY,Cookery,,m.,demonstrate how to adjust cooking times and temperatures for different recipes,13
22548d3b62a8,SC_L2LP,SC_L2LP-COOKERY,Cookery,,n.,"identify how to adapt recipes such as considering gluten free, vegetarian, textures, lower fat",14
9ac79b676e2a,SC_L2LP,SC_L2LP-COOKERY,Cookery,,o.,create a budget based on ingredients identified for a selected recipe,15
3aa89f982dbb,SC_L2LP,SC_L2LP-COOKERY,Cookery,,p.,"follow verbal, written and/or visual instructions in a food preparation setting",16
2a1cc4cddbf9,SC_L2LP,SC_L2LP-COOKERY,Cookery,,q.,follow step-by-step recipes to prepare a variety of meals,17
481f4dbdeed0,SC_L2LP,SC_L2LP-COOKERY,Cookery,,r.,"recognise and apply common cooking terms (e.g., simmer, sauté, blend)",18
4c5e933aea31,SC_L2LP,SC_L2LP-COOKERY,Cookery,,s.,measure and combine ingredients accurately,19
724044e75794,SC_L2LP,SC_L2LP-COOKERY,Cookery,,t.,present serve and share a meal,20
7a2857d737b9,SC_L2LP,SC_L2LP-COOKERY,Cookery,,u.,"follow a cooking timeline or schedule, ensuring all parts of a meal are ready at appropriate time",21
e442c1cfd666,SC_L2LP,SC_L2LP-COOKERY,Cookery,,v.,demonstrate how to clean up after cooking,22
1e30191d2b4d,SC_L2LP,SC_L2LP-COOKERY,Cookery,,w.,"organise waste in composting, recycling or general waste",23
578921cbcfcd,SC_L2LP,SC_L2LP-COOKERY,Cookery,,x.,recognise roles and responsibilities within a shared kitchen space,24
9dd5f97edc28,SC_L2LP,SC_L2LP-COOKERY,Cookery,,y.,"plan, attend and review a meal in a group setting",25
6fdc8fb18de6,SC_L2LP,SC_L2LP-COOKERY,Cookery,,z.,demonstrate appropriate table etiquette in a group setting.,26
65d2ea84a247,SC_L2LP,SC_L2LP-DRAMA,Drama,,a.,communicate where they might see and hear drama in their lives and examples of drama,1
0fa178807d71,SC_L2LP,SC_L2LP-DRAMA,Drama,,b.,manipulate and handle props,2
8983feb4da25,SC_L2LP,SC_L2LP-DRAMA,Drama,,c.,discuss why props are necessary for drama,3
37deac0523b5,SC_L2LP,SC_L2LP-DRAMA,Drama,,d.,choose appropriate props for a piece of drama,4
269e9bb13826,SC_L2LP,SC_L2LP-DRAMA,Drama,,e.,practice movement within a space,5
c05a79d39911,SC_L2LP,SC_L2LP-DRAMA,Drama,,f.,"move their body by shape, size and speed to convey meaning",6
